Simulation_ID-0_NAME-TEST
Particle Count: 4
-6.0,0.0,0.0_0.0,0.0,0.01_1836.15_1;6.0,0.0,0.0_0.0,0.0,0.01_1836.15_1;-11.0,0.0,0.0_0.0,0.0,0.0_1.0_-1;11.0,0.0,0.0_0.0,0.0,0.0_1.0_-1;
-6.0000002368229,0.0,0.01_-2.368229002640726E-7,0.0,0.01_1836.15_1;6.0000002368229,0.0,0.01_2.3682290026407262E-7,0.0,0.01_1836.15_1;-10.999586059080901,0.0,0.0_4.139409190997741E-4,0.0,0.0_1.0_-1;10.999586059080901,0.0,0.0_-4.139409190997741E-4,0.0,0.0_1.0_-1;
-6.000000710502578,0.0,0.01999999955311403_-4.736796780370935E-7,0.0,0.00999999955311403_1836.15_1;6.000000710502578,0.0,0.01999999955311403_4.736796780370935E-7,0.0,0.00999999955311403_1836.15_1;-10.998758113255679,0.0,8.205496742135879E-7_8.279458252226529E-4,0.0,8.205496742135879E-7_1.0_-1;10.998758113255679,0.0,8.205496742135879E-7_-8.279458252226529E-4,0.0,8.205496742135879E-7_1.0_-1;
-6.00000142110552,0.0,0.029999998212071916_-7.106029423034926E-7,0.0,0.009999998658957886_1836.15_1;6.00000142110552,0.0,0.029999998212071916_7.106029423034926E-7,0.0,0.009999998658957886_1836.15_1;-10.997516036914934,0.0,3.282904150551648E-6_0.0012420763407440438,0.0,2.46235447633806E-6_1.0_-1;10.997516036914934,0.0,3.282904150551648E-6_-0.0012420763407440438,0.0,2.46235447633806E-6_1.0_-1;
-6.000002368730879,0.0,0.03999999552894351_-9.476253586496182E-7,0.0,0.009999997316871593_1836.15_1;6.000002368730879,0.0,0.03999999552894351_9.476253586496183E-7,0.0,0.009999997316871593_1836.15_1;-10.995859642722028,0.0,8.209530371726152E-6_0.0016563941929055705,0.0,4.926626221174505E-6_1.0_-1;10.995859642722028,0.0,8.209530371726152E-6_-0.0016563941929055703,0.0,4.926626221174505E-6_1.0_-1;
-6.000003553510556,0.0,0.04999999105486178_-1.1847796772101287E-6,0.0,0.009999995525918274_1836.15_1;6.000003553510556,0.0,0.04999999105486178_1.184779677210129E-6,0.0,0.009999995525918274_1836.15_1;-10.993788681456435,0.0,1.642461553245687E-5_0.002070961265593445,0.0,8.215085160730717E-6_1.0_-1;10.993788681456435,0.0,1.6424615532456867E-5_-0.0020709612655934444,0.0,8.215085160730715E-6_1.0_-1;
-6.000004975609317,0.0,0.05999998433974433_-1.4220987607865856E-6,0.0,0.009999993284882545_1836.15_1;6.000004975609317,0.0,0.05999998433974433_1.4220987607865858E-6,0.0,0.009999993284882545_1836.15_1;-10.991302841805,0.0,2.875457844590231E-5_0.002485839651434069,0.0,1.2329962913445443E-5_1.0_-1;10.991302841805,0.0,2.8754578445902308E-5_-0.0024858396514340687,0.0,1.2329962913445441E-5_1.0_-1;
-6.0000066352249295,0.0,0.06999997493201279_-1.6596156131960063E-6,0.0,0.009999990592268465_1836.15_1;6.0000066352249295,0.0,0.06999997493201279_1.6596156131960065E-6,0.0,0.009999990592268465_1836.15_1;-10.988401750100687,0.0,4.60285847019568E-5_0.0029010917043132654,0.0,1.7274006256054486E-5_1.0_-1;10.988401750100687,0.0,4.602858470195679E-5_-0.0029010917043132646,0.0,1.7274006256054483E-5_1.0_-1;
-6.000008532588337,0.0,0.07999996237830978_-1.897363407907988E-6,0.0,0.009999987446296986_1836.15_1;6.000008532588337,0.0,0.07999996237830978_1.8973634079079882E-6,0.0,0.009999987446296986_1836.15_1;-10.98508497000826,0.0,6.907906649239421E-5_0.003316780092427096,0.0,2.305048179043741E-5_1.0_-1;10.98508497000826,0.0,6.90790664923942E-5_-0.003316780092427095,0.0,2.305048179043741E-5_1.0_-1;
-6.0000106679638545,0.0,0.0899999462232127_-2.1353755170301E-6,0.0,0.009999983844902922_1836.15_1;6.0000106679638545,0.0,0.0899999462232127_2.1353755170301005E-6,0.0,0.009999983844902922_1836.15_1;-10.981352002156285,0.0,9.874224799306193E-5_0.003732967851974249,0.0,2.9663181500667713E-5_1.0_-1;10.981352002156285,0.0,9.874224799306192E-5_-0.0037329678519742483,0.0,2.9663181500667713E-5_1.0_-1;
-6.000013041649395,0.0,0.09999992600894414_-2.373685540702544E-6,0.0,0.009999979785731439_1836.15_1;6.000013041649395,0.0,0.09999992600894414_2.3736855407025447E-6,0.0,0.009999979785731439_1836.15_1;-10.977202283714682,0.0,1.3585867721151626E-4_0.004149718441602337,0.0,3.711642921845433E-5_1.0_-1;10.977202283714682,0.0,1.3585867721151623E-4_-0.0041497184416023365,0.0,3.711642921845433E-5_1.0_-1;
-6.000015653976732,0.0,0.10999990127507817_-2.61232733696463E-6,0.0,0.00999997526613402_1836.15_1;6.000015653976732,0.0,0.10999990127507817_2.6123273369646308E-6,0.0,0.00999997526613402_1836.15_1;-10.972635187916959,0.0,1.8127376522974174E-4_0.004567095797723316,0.0,4.541508801822547E-5_1.0_-1;10.972635187916959,0.0,1.812737652297417E-4_-0.0045670957977233155,0.0,4.541508801822547E-5_1.0_-1;
-6.000018505311784,0.0,0.11999987155824209_-2.8513350521574065E-6,0.0,0.009999970283163922_1836.15_1;6.000018505311784,0.0,0.11999987155824209_2.8513350521574073E-6,0.0,0.009999970283163922_1836.15_1;-10.967650023526142,0.0,2.3583833379602464E-4_0.004985164390816529,0.0,5.45645685662829E-5_1.0_-1;10.967650023526142,0.0,2.358383337960246E-4_-0.004985164390816528,0.0,5.45645685662829E-5_1.0_-1;
-6.000021596054936,0.0,0.12999983639181317_-3.0907431519288227E-6,0.0,0.009999964833571085_1836.15_1;6.000021596054936,0.0,0.12999983639181317_3.0907431519288236E-6,0.0,0.009999964833571085_1836.15_1;-10.9622460342433,0.0,3.0040917224778994E-4_0.005403989282841604,0.0,6.45708384517653E-5_1.0_-1;10.9622460342433,0.0,3.004091722477899E-4_-0.005403989282841603,0.0,6.45708384517653E-5_1.0_-1;
-6.000024926641389,0.0,0.1399997953056097_-3.330586452910131E-6,0.0,0.009999958913796516_1836.15_1;6.000024926641389,0.0,0.1399997953056097_3.3305864529101317E-6,0.0,0.009999958913796516_1836.15_1;-10.956422398057413,0.0,3.7584960477841066E-4_0.005823636185887756,0.0,7.544043253062073E-5_1.0_-1;10.956422398057413,0.0,3.758496047784106E-4_-0.005823636185887755,0.0,7.544043253062073E-5_1.0_-1;
-6.000028497541544,0.0,0.14999974782557574_-3.5709001551348157E-6,0.0,0.009999952519966063_1836.15_1;6.000028497541544,0.0,0.14999974782557574_3.5709001551348165E-6,0.0,0.009999952519966063_1836.15_1;-10.950178226535222,0.0,4.63030069095833E-4_0.006244171522190743,0.0,8.718046431742239E-5_1.0_-1;10.950178226535222,0.0,4.63030069095833E-4_-0.006244171522190742,0.0,8.718046431742239E-5_1.0_-1;
-6.000032309261419,0.0,0.15999969347345938_-3.8117198752742558E-6,0.0,0.009999945647883637_1836.15_1;6.000032309261419,0.0,0.15999969347345938_3.811719875274256E-6,0.0,0.009999945647883637_1836.15_1;-10.943512564049568,0.0,5.628287075595223E-4_0.00666566248565413,0.0,9.979863846368932E-5_1.0_-1;10.943512564049568,0.0,5.628287075595223E-4_-0.006665662485654129,0.0,9.979863846368932E-5_1.0_-1;
-6.0000363623431,0.0,0.16999963176648317_-4.053081680767522E-6,0.0,0.009999938293023794_1836.15_1;6.0000363623431,0.0,0.16999963176648317_4.053081680767522E-6,0.0,0.009999938293023794_1836.15_1;-10.93642438694455,0.0,6.761319719249404E-4_0.007088177105017361,0.0,1.1330326436541816E-4_1.0_-1;10.93642438694455,0.0,6.761319719249404E-4_-0.0070881771050173605,0.0,1.1330326436541816E-4_1.0_-1;
-6.000040657365225,0.0,0.17999956221700686_-4.295022124926278E-6,0.0,0.009999930450523683_1836.15_1;6.000040657365225,0.0,0.17999956221700686_4.295022124926278E-6,0.0,0.009999930450523683_1836.15_1;-10.92891260263573,0.0,8.038352428717596E-4_0.007511784308819709,0.0,1.277032709468192E-4_1.0_-1;10.92891260263573,0.0,8.038352428717596E-4_-0.007511784308819708,0.0,1.277032709468192E-4_1.0_-1;
-6.000045194943508,0.0,0.1899994843321812_-4.537578283099663E-6,0.0,0.009999922115174325_1836.15_1;6.000045194943508,0.0,0.1899994843321812_4.537578283099663E-6,0.0,0.009999922115174325_1836.15_1;-10.920976048643414,0.0,9.468434655435656E-4_0.007936553992316363,0.0,1.4300822267180596E-4_1.0_-1;10.920976048643414,0.0,9.468434655435656E-4_-0.007936553992316363,0.0,1.4300822267180596E-4_1.0_-1;
-6.000049975731297,0.0,0.1999993976135924_-4.7807877899883304E-6,0.0,0.009999913281411196_1836.15_1;6.000049975731297,0.0,0.1999993976135924_4.7807877899883304E-6,0.0,0.009999913281411196_1836.15_1;-10.912613491556904,0.0,0.0011060718023832088_0.008362557086510798,0.0,1.5922833683964328E-4_1.0_-1;10.912613491556904,0.0,0.0011060718023832088_-0.008362557086510798,0.0,1.5922833683964328E-4_1.0_-1;
-6.000055000420176,0.0,0.20999930155689647_-5.024688878201525E-6,0.0,0.009999903943304078_1836.15_1;6.000055000420176,0.0,0.20999930155689647_5.024688878201525E-6,0.0,0.009999903943304078_1836.15_1;-10.903823625927428,0.0,0.0012824463046095535_0.00878986562947624,0.0,1.7637450222634472E-4_1.0_-1;10.903823625927428,0.0,0.0012824463046095535_-0.00878986562947624,0.0,1.7637450222634472E-4_1.0_-1;
-6.000060269740594,0.0,0.2199991956514426_-5.269320418156265E-6,0.0,0.009999894094546127_1836.15_1;6.000060269740594,0.0,0.2199991956514426_5.269320418156265E-6,0.0,0.009999894094546127_1836.15_1;-10.894605073087279,0.0,0.0014769046037485171_0.009218552840148539,0.0,1.9445829913896365E-4_1.0_-1;10.894605073087279,0.0,0.0014769046037485171_-0.009218552840148539,0.0,1.9445829913896365E-4_1.0_-1;
-6.000065784462553,0.0,0.22999907937988476_-5.514721959423281E-6,0.0,0.00999988372844215_1836.15_1;6.000065784462553,0.0,0.22999907937988476_5.514721959423281E-6,0.0,0.00999988372844215_1836.15_1;-10.884956379892495,0.0,0.0016903966247043961_0.009648693194783111,0.0,2.134920209558791E-4_1.0_-1;10.884956379892495,0.0,0.0016903966247043961_-0.009648693194783111,0.0,2.134920209558791E-4_1.0_-1;
