Simulation_ID-0_NAME-TEST
Particle Count: 4
1.0,0.0,0.0_0.0,0.0,0.0_1836.15_1_false;-1.0,0.0,0.0_0.0,0.0,0.0_1836.15_1_false;2.0,0.0,0.0_0.0,0.065,0.0_1.0_-1_false;-2.0,0.0,0.0_0.0,0.065,0.0_1.0_-1_false;
1.0000031012958879,0.0,0.0_3.1012958878329352E-6,0.0,0.0_1836.15_1_false;-1.0000031012958879,0.0,0.0_-3.1012958878329352E-6,0.0,0.0_1836.15_1_false;1.9947569444444444,0.065,0.0_-0.0052430555555555555,0.065,0.0_1.0_-1_false;-1.9947569444444444,0.065,0.0_0.0052430555555555555,0.065,0.0_1.0_-1_false;
1.0000093143051385,1.8525588018887351E-7,0.0_6.213009250546761E-6,1.8525588018887351E-7,0.0_1836.15_1_false;-1.0000093143051385,1.8525588018887351E-7,0.0_-6.213009250546761E-6,1.8525588018887351E-7,0.0_1836.15_1_false;1.984250238247352,0.1296598424155912,0.0_-0.010506706197092548,0.0646598424155912,0.0_1.0_-1_false;-1.984250238247352,0.1296598424155912,0.0_0.010506706197092548,0.0646598424155912,0.0_1.0_-1_false;
1.000018642541996,7.446318726753386E-7,0.0_9.328236857302498E-6,5.59375992486465E-7,0.0_1836.15_1_false;-1.000018642541996,7.446318726753386E-7,0.0_-9.328236857302498E-6,5.59375992486465E-7,0.0_1836.15_1_false;1.9684712730213254,0.19363274418698717,0.0_-0.01577896522602648,0.06397290177139597,0.0_1.0_-1_false;-1.9684712730213254,0.19363274418698717,0.0_0.015778965226026485,0.06397290177139597,0.0_1.0_-1_false;
1.0000310820660303,1.87139202690665E-6,0.0_1.2439524034478214E-5,1.1267601542313114E-6,0.0_1836.15_1_false;-1.0000310820660303,1.87139202690665E-6,0.0_-1.2439524034478214E-5,1.1267601542313114E-6,0.0_1836.15_1_false;1.9474244414919515,0.25656384352979533,0.0_-0.021046831529373887,0.06293109934280817,0.0_1.0_-1_false;-1.9474244414919515,0.25656384352979533,0.0_0.02104683152937389,0.06293109934280817,0.0_1.0_-1_false;
1.0000466207300036,3.763983722033452E-6,0.0_1.5538663973342144E-5,1.8925916951268023E-6,0.0_1836.15_1_false;-1.0000466207300036,3.7639837220334526E-6,0.0_-1.5538663973342144E-5,1.8925916951268025E-6,0.0_1836.15_1_false;1.9211285272984202,0.31808876128878827,0.0_-0.026295914193531285,0.061524917758992916,0.0_1.0_-1_false;-1.9211285272984202,0.31808876128878827,0.0_0.02629591419353129,0.06152491775899292,0.0_1.0_-1_false;
1.000065237207153,6.626798144167447E-6,0.0_1.8616477149304008E-5,2.8628144221339955E-6,0.0_1836.15_1_false;-1.000065237207153,6.626798144167449E-6,0.0_-1.8616477149304008E-5,2.862814422133996E-6,0.0_1836.15_1_false;1.8896185090388091,0.37783220458758693,0.0_-0.0315100182596111,0.05974344329879866,0.0_1.0_-1_false;-1.8896185090388091,0.37783220458758693,0.0_0.0315100182596111,0.05974344329879867,0.0_1.0_-1_false;
1.0000868997742351,1.0670887051052401E-5,0.0_2.166256708219626E-5,4.044088906884955E-6,0.0_1836.15_1_false;-1.0000868997742351,1.0670887051052405E-5,0.0_-2.166256708219626E-5,4.044088906884955E-6,0.0_1836.15_1_false;1.8529478255312566,0.4354066507412101,0.0_-0.03667068350755253,0.057574446153623185,0.0_1.0_-1_false;-1.8529478255312566,0.4354066507412101,0.0_0.03667068350755253,0.05757444615362319,0.0_1.0_-1_false;
1.000111564823268,1.6114607682969715E-5,0.0_2.466504903278704E-5,5.4437206319173156E-6,0.0_1836.15_1_false;-1.000111564823268,1.6114607682969722E-5,0.0_-2.466504903278704E-5,5.4437206319173156E-6,0.0_1836.15_1_false;1.8111911571162944,0.4904111631029151,0.0_-0.04175666841496215,0.05500451236170501,0.0_1.0_-1_false;-1.8111911571162944,0.4904111631029151,0.0_0.04175666841496215,0.05500451236170502,0.0_1.0_-1_false;
1.0001391750722681,2.3184157979792666E-5,0.0_2.7610249000309332E-5,7.069550296822949E-6,0.0_1836.15_1_false;-1.0001391750722681,2.3184157979792673E-5,0.0_-2.7610249000309332E-5,7.069550296822949E-6,0.0_1836.15_1_false;1.7644477848748932,0.5424304083254037,0.0_-0.04674337224140126,0.05201924522248853,0.0_1.0_-1_false;-1.7644477848748932,0.5424304083254037,0.0_0.04674337224140126,0.05201924522248854,0.0_1.0_-1_false;
1.0001696574440389,3.2113951948119056E-5,0.0_3.0482371770661816E-5,8.929793968326391E-6,0.0_1836.15_1_false;-1.0001696574440389,3.211395194811906E-5,0.0_-3.0482371770661813E-5,8.929793968326391E-6,0.0_1836.15_1_false;1.7128455950318595,0.5910339671304612,0.0_-0.05160218984303361,0.048603558805057484,0.0_1.0_-1_false;-1.7128455950318595,0.5910339671304612,0.0_0.05160218984303361,0.04860355880505749,0.0_1.0_-1_false;
