Simulation_ID-0_NAME-TEST
Particle Count: 9
0.0,0.0,0.0_0.0,0.0,0.0_1836.15_1;1.0,0.0,0.0_0.0,0.0,0.0_1836.15_1;0.0,0.0,1.0_0.0,0.0,0.0_1836.15_1;0.0,2.0,0.0_0.0,0.0,0.0_1836.15_1;3.0,1.5,4.0_0.0,0.0,0.0_1836.15_1;-0.67,1.0,0.0_0.0,0.0,0.0_1836.15_-1;0.0,-1.0,0.0_0.0,0.0,0.0_1836.15_-1;1.0,3.0,0.0_0.0,0.0,0.0_1836.15_-1;-2.0,0.0,1.0_0.0,0.0,0.0_1836.15_-1;
-4.227641734276487E-4,-1.6128768253243829E-4,-2.556100949428953E-4_-4.227641734276487E-4,-1.6128768253243829E-4,-2.556100949428953E-4_1836.15_1;1.0002039815862596,-8.170057035690454E-5,-9.80428879224631E-5_2.0398158625954902E-4,-8.170057035690454E-5,-9.80428879224631E-5_1836.15_1;-2.134618610111086E-4,-5.602148681973778E-5,1.0002091792949308_-2.134618610111086E-4,-5.602148681973778E-5,2.0917929493074073E-4_1836.15_1;-5.9301339780506825E-5,2.0000562862601066,-2.285532577455134E-5_-5.9301339780506825E-5,5.6286260106690875E-5,-2.285532577455134E-5_1836.15_1;3.0000040632215894,1.5000074556847354,4.000008505622355_4.063221589530973E-6,7.45568473533927E-6,8.505622355312422E-6_1836.15_1;-0.669670992915019,0.9999573272052401,4.0563010893445086E-5_3.2900708498106567E-4,-4.2672794759879714E-5,4.0563010893445086E-5_1836.15_-1;1.5356642000899622E-4,-0.9995930923462237,8.398261169808958E-5_1.5356642000899622E-4,4.069076537762577E-4,8.398261169808958E-5_1836.15_-1;0.9999322958501927,2.9998775429945788,1.4554337404742691E-5_-6.770414980731263E-5,-1.2245700542115793E-4,1.4554337404742691E-5_1836.15_-1;-1.9999273867888125,-6.510058728169768E-6,1.0000197234313575_7.261321118743493E-5,-6.510058728169768E-6,1.9723431357579217E-5_1836.15_-1;
-0.0012678356672125549,-4.840640754576284E-4,-7.664679718464814E-4_-8.450714937849063E-4,-3.2277639292519015E-4,-5.108578769035861E-4_1836.15_1;1.0006114667328108,-2.4507864849880546E-4,-2.939892081849528E-4_4.074851465511225E-4,-1.6337807814190096E-4,-1.9594632026248972E-4_1836.15_1;-6.402237939578112E-4,-1.6800996023943256E-4,1.0006271134317168_-4.267619329467026E-4,-1.1198847341969479E-4,4.1793413678598354E-4_1836.15_1;-1.7783150950034582E-4,2.0001687549256775,-6.853958783394423E-5_-1.1853016971983899E-4,1.1246866557089497E-4,-4.568426205939288E-5_1836.15_1;3.000012187396069,1.5000223661414636,4.000025512228157_8.124174479208248E-6,1.4910456728178784E-5,1.7006605801464483E-5_1836.15_1;-0.6690130757339585,0.9998718902685986,1.2166465317118454E-4_6.579171810604581E-4,-8.543693664154992E-5,8.110164227773947E-5_1836.15_-1;4.605881032157413E-4,-0.9987789663785793,2.5189814205349453E-4_3.0702168320674507E-4,8.141259676444519E-4,1.6791553035540495E-4_1836.15_-1;0.9997968663729437,2.999632638445155,4.3656119343567476E-5_-1.354294772490299E-4,-2.449045494236567E-4,2.9101781938824787E-5_1836.15_-1;-1.9997821419004096,-1.953071811970311E-5,1.0000591521934235_1.4524488840294352E-4,-1.3020659391533345E-5,3.9428762066051325E-5_1836.15_-1;
-0.0025343003856958994,-9.68731815176364E-4,-0.0015318487891283791_-0.0012664647184833446,-4.8466773971873563E-4,-7.653808172818976E-4_1836.15_1;1.0012215018401995,-4.90088263639182E-4,-5.875609111227812E-4_6.10035107388815E-4,-2.4500961514037643E-4,-2.935717029378283E-4_1836.15_1;-0.0012799629396967336,-3.3585656002830004E-4,1.001252955216877_-6.397391457389224E-4,-1.6784659978886748E-4,6.258417851600719E-4_1836.15_1;-3.55445352262308E-4,2.0003371983876534,-1.3700002078852E-4_-1.7761384276196218E-4,1.6844346197600986E-4,-6.846043295457576E-5_1836.15_1;3.0000243679862377,1.500044729545627,4.000051010541354_1.2180590168818199E-5,2.2363404163421137E-5,2.5498313197127174E-5_1836.15_1;-0.6680264433422822,0.9997435067229604,2.4325593495768815E-4_9.866323916763126E-4,-1.2838354563815085E-4,1.215912817865036E-4_1836.15_-1;9.20841392796992E-4,-0.997557000207065,5.03646377239132E-4_4.6025328958125073E-4,0.001221966171514399,2.5174823518563745E-4_1836.15_-1;0.9995936692043673,2.9992653052885454,8.729155978863277E-5_-2.0319716857643966E-4,-3.6733315660948673E-4,4.363544044506529E-5_1836.15_-1;-1.999564228403664,-3.906309887791652E-5,1.0001182500908234_2.1791349674547163E-4,-1.9532380758213406E-5,5.909789739989612E-5_1836.15_-1;
-0.004220786166181403,-0.001615896318319134,-0.0025506647348055474_-0.001686485780485503,-6.471645031427698E-4,-0.0010188159456771685_1836.15_1;1.0020326626004012,-8.16660840694299E-4,-9.783430590876664E-4_8.111607602017829E-4,-3.265725770551171E-4,-3.907821479648852E-4_1836.15_1;-0.0021321967944254792,-5.593983425082055E-4,1.0020854381224196_-8.522338547287457E-4,-2.235417824799055E-4,8.324829055425628E-4_1836.15_1;-5.919247898132729E-4,2.000561305484335,-2.2815751067667515E-4_-2.364794375509649E-4,2.2410709668167848E-4,-9.115748988815516E-5_1836.15_1;3.000040598186799,1.5000745431627147,4.000084986652295_1.6230200561107332E-5,2.9813617087809004E-5,3.397611094197057E-5_1836.15_1;-0.6667113903387446,0.999571903444644,4.0526278833305214E-4_0.0013150530035376013,-1.7160327831648828E-4,1.62006853375364E-4_1836.15_-1;0.001533987429197895,-0.9959262595807558,8.390749170273872E-4_6.13146036400903E-4,0.0016307406263091954,3.3542853978825514E-4_1836.15_-1;0.9993226407770555,2.998775571964824,1.4543997899321427E-4_-2.7102842731186556E-4,-4.897333237214662E-4,5.8148419204581515E-5_1836.15_-1;-1.9992735909042885,-6.51089742408529E-5,1.000196962845501_2.90637499375684E-4,-2.6045875362936378E-5,7.871275467747505E-5_1836.15_-1;
-0.006325461429474133,-0.002426367564591984,-0.0038214643372442496_-0.0021046752632927295,-8.1047124627285E-4,-0.0012707996024387022_1836.15_1;1.0030430611951577,-0.0012247056442649615,-0.0014657863438755807_0.0010103985947565633,-4.080448035706624E-4,-4.8744328478791434E-4_1836.15_1;-0.003196285316634813,-8.384186858272125E-4,1.003122881346494_-0.0010640885222093339,-2.7902034331900695E-4,0.0010374432240744674_1836.15_1;-8.869784114347414E-4,2.0008406618073553,-3.4190663632877895E-4_-2.950536216214684E-4,2.7935632302043237E-4,-1.1374912565210378E-4_1836.15_1;3.0000608689249715,1.5001118033510732,4.000127422023056_2.027073817251433E-5,3.7260188358543436E-5,4.243537076066478E-5_1836.15_1;-0.6650683137638121,0.9993567173715314,6.075853789824616E-4_0.0016430765749324693,-2.1518607311260229E-4,2.0232259064940954E-4_1836.15_-1;0.0022995680550902684,-0.9938854962132545,0.0012579766509605709_7.655806258923733E-4,0.002040763367501203,4.189017339331837E-4_1836.15_-1;0.9989836962940779,2.998163476458861,2.1807380267746946E-4_-3.3894448297755344E-4,-6.120955059629569E-4,7.26338236842552E-5_1836.15_-1;-1.9989101555479414,-9.767088088295334E-5,1.0002952181152778_3.634353563471641E-4,-3.256190664210044E-5,9.825526977673996E-5_1836.15_-1;
-0.008846033172123088,-0.003401162519713243,-0.005342431496231013_-0.002520571742648955,-9.747949551212591E-4,-0.001520967158986763_1836.15_1;1.004250355711894,-0.0017141103486793875,-0.0020492103668890748_0.0012072945167362194,-4.894047044144259E-4,-5.834240230134938E-4_1836.15_1;-0.004471433679191672,-0.0011726478126300535,1.0043631964721322_-0.001275148362556859,-3.3422912680284103E-4,0.0012403151256381564_1836.15_1;-0.0012402409264763844,2.001174750115812,-4.7811572521524906E-4_-3.5326251504164304E-4,3.340883084566569E-4,-1.3620908888647013E-4_1836.15_1;3.0000851688613266,1.5001565055656867,4.000178293494559_2.4299936355151512E-5,4.4702214613446894E-5,5.0871471503532576E-5_1836.15_1;-0.6630977167432177,0.9990974965036798,8.5009719558338E-4_0.0019705970205944083,-2.5922086785155435E-4,2.4251181660091834E-4_1836.15_-1;0.0032170002783899095,-0.9914331455921458,0.001760086345537524_9.174322232996411E-4,0.0024523506211087203,5.021096945769533E-4_1836.15_-1;0.9985767296941408,2.997429066355243,3.051585609955607E-4_-4.069665999371456E-4,-7.344101036180861E-4,8.708475831809123E-5_1836.15_-1;-1.9984738300247422,-1.3675226725361122E-4,1.0004129255195269_4.3632552319918205E-4,-3.908138637065788E-5,1.1770740424907526E-4_1836.15_-1;
-0.011779744126020427,-0.004541508234583262,-0.007111384190821507_-0.0029337109538973383,-0.0011403457148700196,-0.0017689526945904946_1836.15_1;1.0056517616276197,-0.002284741715858012,-0.0027278076196136283_0.0014014059157256775,-5.706313671786245E-4,-6.785972527245533E-4_1836.15_1;-0.00595669561959777,-0.0015617634153229332,1.0058038956504274_-0.0014852619404060988,-3.891156026928797E-4,0.0014406991782950468_1836.15_1;-0.001651272481210029,2.001562950863826,-6.366269243796192E-4_-4.110315547336444E-4,3.882007480141653E-4,-1.5851119916437012E-4_1836.15_1;3.0001134843908606,1.500208644362957,4.0002375732955295_2.831552953403262E-5,5.213879727036036E-5,5.927980097015332E-5_1836.15_1;-0.6608002130503078,0.998793701223739,0.00113264392782733_0.002297503692909933,-3.0379527994079265E-4,2.8254673224395005E-4_1836.15_-1;0.004285569226411935,-0.9885673243111723,0.002345076300934116_0.0010685689480220252,0.002865821280973488,5.849899553965921E-4_1836.15_-1;0.9981016136077526,2.996572398906168,4.066528873291796E-4_-4.7511608638816825E-4,-8.56667449074878E-4,1.0149432633361893E-4_1836.15_-1;-1.9979645035755087,-1.8235767975443066E-4,1.000549976672767_5.093264492335809E-4,-4.560541250081945E-5,1.3705115324005672E-4_1836.15_-1;
-0.015123368872698304,-0.005848845661872105,-0.009125772808711385_-0.003343624746677878,-0.0013073374272888428,-0.0020143886178898784_1836.15_1;1.0072440651813805,-0.0029364463588600533,-0.0035006480900478818_0.0015923035537609047,-6.517046430020411E-4,-7.728404704342536E-4_1836.15_1;-0.007650977332215515,-0.0020053913658669743,1.0074421012190733_-0.0016942817126177447,-4.436279505440411E-4,0.0016382055686458884_1836.15_1;-0.002119557840970238,2.00200454284809,-8.172562872125691E-4_-4.6828535976020896E-4,4.41591984263638E-4,-1.8062936283294988E-4_1836.15_1;3.0001457996443244,1.5002682134065208,4.000305229053293_3.23152534637595E-5,5.956904356389215E-5,6.765575776286067E-5_1836.15_1;-0.6581765325902312,0.9984447059842652,0.0014550421447570329_0.0026236804600764984,-3.489952394738616E-4,3.2239821692970293E-4_1836.15_-1;0.005504419506311065,-0.9852858269768335,0.0030125510246843197_0.0012188502798991302,0.0032814973343387684,6.674747237502037E-4_1836.15_-1;0.9975581993042079,2.9955935411118126,5.225085169635346E-4_-5.434143035447147E-4,-9.788577943556176E-4,1.1585562963435497E-4_1836.15_-1;-1.9973820470001085,-2.3449298725632573E-4,1.000706245227201_5.824565754002517E-4,-5.213530750189508E-5,1.562685544340715E-4_1836.15_-1;
-0.01887320866464113,-0.007324834233443031,-0.011382678029765678_-0.0037498397919428265,-0.001475988571570926,-0.0022569052210542925_1836.15_1;1.0090236384305586,-0.003669051565448182,-0.00436668441097316_0.001779573249178188,-7.32605206588129E-4,-8.660363209252779E-4_1836.15_1;-0.00955304183852045,-0.002503106489037272,1.009274556653628_-0.001902064506304934,-4.977151231702976E-4,0.0018324554345547305_1836.15_1;-0.0026445054389168735,2.002498703983229,-0.0010197938769809824_-5.249475979466351E-4,4.941611351390884E-4,-2.025375897684132E-4_1836.15_1;3.0001820964898336,1.500335205474149,4.000381223806471_3.629684550915604E-5,6.699206762816268E-5,7.599475317787927E-5_1836.15_1;-0.6552275278073485,0.9980498014190005,0.0018170777882509257_0.002949004782882785,-3.949045652646897E-4,3.6203564349389285E-4_1836.15_-1;0.006872544868267437,-0.9815861227564461,0.003762040858206561_0.0013681253619563711,0.0036997042203874317,7.49489833522241E-4_1836.15_-1;0.9969463166291574,2.9944925698125515,6.526702857127125E-4_-6.118826750504243E-4,-0.0011009712992611585,1.30161768749178E-4_1836.15_-1;-1.99672631266839,-2.931656445558083E-4,1.000881586925451_6.557343317183182E-4,-5.867265729948262E-5,1.7534169825006232E-4_1836.15_-1;
-0.02302508467465783,-0.008971357240727288,-0.013878808183905139_-0.0041518760100167,-0.0016465230072842563,-0.0024961301541394604_1836.15_1;1.0109864557661308,-0.00448236615288051,-0.005324757458580494_0.0019628173355721347,-8.133145874323281E-4,-9.580730476073343E-4_1836.15_1;-0.011661513765404953,-0.003054433375381915,1.0112976387374264_-0.002108471926884503,-5.513268863446432E-4,0.0020230820837982165_1836.15_1;-0.0032254462932215077,2.0030445122140503,-0.0012440038881873599_-5.809408543046343E-4,5.458082308211747E-4,-2.242100112063775E-4_1836.15_1;3.000222354534788,1.5004096124657837,4.000465516019614_4.025804495467625E-5,7.44069916348069E-5,8.429221314281072E-5_1836.15_1;-0.6519541810142445,0.9976081969453523,0.0022185045000711772_0.0032733467931039322,-4.4160447364813174E-4,4.014267118202516E-4_1836.15_-1;0.008388776048341783,-0.9774653516530434,0.0045929944800109975_0.0015162311800743463,0.004120771103402665,8.309536218044362E-4_1836.15_-1;0.9962657739324945,2.993269571792313,7.970761285719658E-4_-6.805426966629376E-4,-0.001222998020238758,1.4440584285925324E-4_1836.15_-1;-1.9959971345342264,-3.583849954663396E-4,1.0010758396649793_7.291781341636831E-4,-6.521935091053129E-5,1.942527395282042E-4_1836.15_-1;
